State,Year,d2013,d2014,DR,PGP2013,AGP2013,PPC2013,PS2013,PM2013,AM2013,PBC2013,ABC2013,PAR2013,AAR2013,NFL2013,TGA2013,LGA2013,LSG2013,LegR,GovR,StateR
Oregon,2014,0,1,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
Pennsylvania,2014,0,1,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Rhode Island,2014,0,1,2.9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,-1,-1
South Carolina,2014,0,1,15.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
South Dakota,2014,0,1,10.3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
Tennessee,2014,0,1,14.7,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1
Texas,2014,0,1,10.6,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1
Utah,2014,0,1,12.3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1
Vermont,2014,0,1,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
Virginia,2014,0,1,10.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
Washington,2014,0,1,9.6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,-1,-1
West Virginia,2014,0,1,14.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1
Wisconsin,2014,0,1,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Wyoming,2014,0,1,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
