Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,AllStar,AllNBA,AllDef,Center
88,Jamal Crawford,SG,25,NYK,79,2555,15.5,0.544,0.333,0.406,1.7,10.2,5.9,20.9,1.8,0.5,14.4,21.5,3.7,0.8,4.5,0.084,1.9,-1.4,0.5,1.6,0,0,0,0
89,Austin Croshere,PF,30,IND,50,1148,15.2,0.618,0.491,0.358,6.4,19.8,13.3,9.1,1,0.4,12.7,15.3,2.5,1.7,4.1,0.173,1.3,0.5,1.9,1.1,0,0,0,0
90,Eddy Curry,C,23,NYK,72,1865,17,0.604,0,0.814,9.4,18.9,14.1,1.9,0.8,2.5,18.1,24.1,2.3,1,3.3,0.084,-1.8,-2.3,-4.2,-1,0,0,0,1
91,Samuel Dalembert,C,24,PHI,66,1761,14.2,0.568,0.003,0.358,10.6,25.4,18,2.2,1,6.9,20,13.8,0.9,2.6,3.6,0.097,-3.6,1.9,-1.7,0.1,0,0,0,1
92,Erick Dampier,C,30,DAL,82,1934,13.9,0.531,0,0.62,17.3,22.4,19.9,4,0.8,4.2,20.7,13.4,1.9,2.9,4.8,0.119,-0.5,1.8,1.3,1.6,0,0,0,1
93,Antonio Daniels,SG,30,WAS,80,2283,13.7,0.55,0.184,0.611,0.9,8,4.4,19.2,1.2,0.3,11.3,15.4,4.3,0.9,5.3,0.111,-0.1,-1.6,-1.6,0.2,0,0,0,0
94,Marquis Daniels,SG,25,DAL,62,1766,14.9,0.535,0.037,0.357,5.6,9.6,7.6,16.2,2.1,0.6,14.4,18.3,2.4,1.7,4.2,0.114,0.9,0.5,1.4,1.5,0,0,0,0
95,Antonio Davis,PF-C,37,NYK/TOR,44,940,8.3,0.479,0.005,0.426,11.5,15.5,13.5,3.5,1.3,0.9,18.4,13.4,0,0.4,0.3,0.017,-2.5,-0.7,-3.2,-0.3,0,0,0,1
96,Baron Davis,PG,26,GSW,54,1971,18.3,0.489,0.376,0.336,2.5,11.1,6.7,42.6,2.3,0.5,13.9,25.9,2.4,2,4.4,0.106,3.7,-0.5,3.2,2.6,0,0,0,0
97,Dale Davis,C,36,DET,28,178,9.9,0.425,0.042,0.625,13.9,21.6,17.7,4.8,0,3.7,11.6,9.2,0.1,0.3,0.4,0.108,-3.4,1.2,-2.3,0,0,0,0,1
